impl,n,network,page,cls_iqr,cls_max,cls_median,cls_min,fcp_ms_iqr,fcp_ms_max,fcp_ms_median,fcp_ms_min,js_requests_iqr,js_requests_max,js_requests_median,js_requests_min,js_transfer_kb_iqr,js_transfer_kb_max,js_transfer_kb_median,js_transfer_kb_min,lcp_element,lcp_ms_iqr,lcp_ms_max,lcp_ms_median,lcp_ms_min,perf_score_iqr,perf_score_max,perf_score_median,perf_score_min,requests_iqr,requests_max,requests_median,requests_min,si_ms_iqr,si_ms_max,si_ms_median,si_ms_min,tbt_ms_iqr,tbt_ms_max,tbt_ms_median,tbt_ms_min,total_transfer_kb_iqr,total_transfer_kb_max,total_transfer_kb_median,total_transfer_kb_min,tti_ms_iqr,tti_ms_max,tti_ms_median,tti_ms_min
B,1,broadband,cart,0.0,0.0,0.0,0.0,0.0,694.0,694.0,694.0,0.0,8.0,8.0,8.0,0.0,71.6,71.6,71.6,© 2026 ShopMFE  a dissertation benchmark app. Data from Fake,0.0,694.0,694.0,694.0,0.0,100.0,100.0,100.0,0.0,11.0,11.0,11.0,0.0,315.0,315.0,315.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,77.0,0.0,694.0,694.0,694.0
B,1,fast-4g,cart,0.0,0.0,0.0,0.0,0.0,2375.0,2375.0,2375.0,0.0,8.0,8.0,8.0,0.0,71.6,71.6,71.6,© 2026 ShopMFE  a dissertation benchmark app. Data from Fake,0.0,2375.0,2375.0,2375.0,0.0,95.0,95.0,95.0,0.0,11.0,11.0,11.0,0.0,2371.0,2371.0,2371.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,77.0,0.0,2375.0,2375.0,2375.0
B,1,slow-3g,cart,0.0,0.0,0.0,0.0,0.0,4438.0,4438.0,4438.0,0.0,8.0,8.0,8.0,0.0,71.6,71.6,71.6,© 2026 ShopMFE  a dissertation benchmark app. Data from Fake,0.0,4438.0,4438.0,4438.0,0.0,76.0,76.0,76.0,0.0,11.0,11.0,11.0,0.0,1682.0,1682.0,1682.0,0.0,0.0,0.0,0.0,0.0,77.0,77.0,77.0,0.0,4438.0,4438.0,4438.0
B,1,broadband,home,0.0,0.005,0.005,0.005,0.0,658.0,658.0,658.0,0.0,8.0,8.0,8.0,0.0,71.8,71.8,71.8,WD 4TB Gaming Drive Works with Playstation 4 Portable Extern,0.0,2065.0,2065.0,2065.0,0.0,99.0,99.0,99.0,0.0,18.0,18.0,18.0,0.0,995.0,995.0,995.0,0.0,52.0,52.0,52.0,0.0,1230.5,1230.5,1230.5,0.0,1514.0,1514.0,1514.0
B,1,fast-4g,home,0.0,0.005,0.005,0.005,0.0,2432.0,2432.0,2432.0,0.0,8.0,8.0,8.0,0.0,71.8,71.8,71.8,WD 4TB Gaming Drive Works with Playstation 4 Portable Extern,0.0,3852.0,3852.0,3852.0,0.0,85.0,85.0,85.0,0.0,18.0,18.0,18.0,0.0,2686.0,2686.0,2686.0,0.0,24.0,24.0,24.0,0.0,1230.5,1230.5,1230.5,0.0,2535.0,2535.0,2535.0
B,1,slow-3g,home,0.0,0.005,0.005,0.005,0.0,4354.0,4354.0,4354.0,0.0,8.0,8.0,8.0,0.0,71.8,71.8,71.8,WD 4TB Gaming Drive Works with Playstation 4 Portable Extern,0.0,31780.0,31780.0,31780.0,0.0,59.0,59.0,59.0,0.0,20.0,20.0,20.0,0.0,7447.0,7447.0,7447.0,0.0,31.0,31.0,31.0,0.0,1592.2,1592.2,1592.2,0.0,5477.0,5477.0,5477.0
B,1,broadband,pdp,0.0,0.0,0.0,0.0,0.0,598.0,598.0,598.0,0.0,8.0,8.0,8.0,0.0,71.8,71.8,71.8,Fjallraven - Foldsack No. 1 Backpack  Fits 15 Laptops,0.0,1391.0,1391.0,1391.0,0.0,100.0,100.0,100.0,0.0,13.0,13.0,13.0,0.0,710.0,710.0,710.0,0.0,38.0,38.0,38.0,0.0,345.8,345.8,345.8,0.0,1097.0,1097.0,1097.0
B,1,fast-4g,pdp,0.0,0.0,0.0,0.0,0.0,2488.0,2488.0,2488.0,0.0,8.0,8.0,8.0,0.0,71.8,71.8,71.8,Fjallraven - Foldsack No. 1 Backpack  Fits 15 Laptops,0.0,2734.0,2734.0,2734.0,0.0,93.0,93.0,93.0,0.0,13.0,13.0,13.0,0.0,2503.0,2503.0,2503.0,0.0,0.0,0.0,0.0,0.0,345.8,345.8,345.8,0.0,2488.0,2488.0,2488.0
B,1,slow-3g,pdp,0.0,0.0652,0.0652,0.0652,0.0,4418.0,4418.0,4418.0,0.0,8.0,8.0,8.0,0.0,71.8,71.8,71.8,Fjallraven - Foldsack No. 1 Backpack  Fits 15 Laptops,0.0,11055.0,11055.0,11055.0,0.0,64.0,64.0,64.0,0.0,13.0,13.0,13.0,0.0,4211.0,4211.0,4211.0,0.0,15.0,15.0,15.0,0.0,345.8,345.8,345.8,0.0,5270.0,5270.0,5270.0
B,1,broadband,plp,0.0,0.0317,0.0317,0.0317,0.0,648.0,648.0,648.0,0.0,8.0,8.0,8.0,0.0,72.3,72.3,72.3,Fjallraven - Foldsack No. 1 Backpack  Fits 15 Laptops,0.0,1794.0,1794.0,1794.0,0.0,100.0,100.0,100.0,0.0,17.0,17.0,17.0,0.0,1242.0,1242.0,1242.0,0.0,35.0,35.0,35.0,0.0,1182.9,1182.9,1182.9,0.0,1478.0,1478.0,1478.0
B,1,fast-4g,plp,0.0,0.0317,0.0317,0.0317,0.0,2399.0,2399.0,2399.0,0.0,8.0,8.0,8.0,0.0,72.3,72.3,72.3,Fjallraven - Foldsack No. 1 Backpack  Fits 15 Laptops,0.0,3691.0,3691.0,3691.0,0.0,86.0,86.0,86.0,0.0,17.0,17.0,17.0,0.0,3145.0,3145.0,3145.0,0.0,36.0,36.0,36.0,0.0,1182.9,1182.9,1182.9,0.0,2793.0,2793.0,2793.0
B,1,slow-3g,plp,0.0,0.0317,0.0317,0.0317,0.0,4368.0,4368.0,4368.0,0.0,8.0,8.0,8.0,0.0,72.3,72.3,72.3,Fjallraven - Foldsack No. 1 Backpack  Fits 15 Laptops,0.0,32145.0,32145.0,32145.0,0.0,57.0,57.0,57.0,0.0,19.0,19.0,19.0,0.0,12909.0,12909.0,12909.0,0.0,26.0,26.0,26.0,0.0,1477.5,1477.5,1477.5,0.0,5610.0,5610.0,5610.0
